id	word	definition_cn	ecdict_translation	ecdict_phonetic
GRE_1474	antipathetic	adj. 讨厌的, 嫌恶的, 格格不入的	a. 生来厌恶的, 怀有反感的, 引起反感的 / [化] 相憎的	.æntipә'θetik
GRE_2026	antithetic	adj. 正相反的, 对立的	[计] 对偶	,ænti'θetik
GRE_2970	aorta	n. 大动脉	n. 主动脉 / [医] 主动脉	ei'ɒ:tә
GRE_3086	apex	n. 顶点	n. 顶, 尖端, 最高潮 / [医] 尖, 尖端	'eipeks
GRE_1556	apocryphal	adj. 伪经的,假冒的	a. 伪的, 不足凭信的	ә'pɔkrif(ә)l
GRE_3595	apoplectic	n. 患中风者	n. 中风病人 / a. 中风的, 有中风迹象的	.æpәu'plektik
GRE_1636	appealing	adj. 吸引人的, 哀诉似的, 恳求似的	a. 有感染力的, 动人的, 恳求的	ә'pi:liŋ
GRE_1404	apposite	adj. 适当的	a. 贴切的, 合适的	'æpәuzit
GRE_1920	apprehensive	adj. 有理解力的	a. 惴惴不安的, 敏悟的, 知晓的	.æpri'hensiv
GRE_2574	arabesque	n. 阿拉伯式图饰, 蔓藤花纹	n. 阿拉伯式花饰	.ærә'besk
GRE_5823	arbiter	n. 仲裁者, 判优器	n. 仲裁人, 裁决者, 公断人 / [计] 判优程序	'ɑ:bitә
GRE_4642	archer	n. 射手, 弓术家, [天]人马星座	n. 弓箭手, 射箭运动员	'ɑ:tʃә
GRE_9768	archetypally	adv. 典型地	adv. archetype的变形	
GRE_9438	archive	n. 档案室	vt. 把...存档 / n. 档案馆, 档案文件 / [计] 挡案库, 存档	'ɑ:kaiv
GRE_7906	arid	adj. 干旱的； 枯燥的	a. 干燥的, 不毛的	'ærid
GRE_7237	artistry	n. 艺术技巧	n. 艺术性	'ɑ:tistri
GRE_1204	artless	adj. 朴实的	a. 无虚饰的, 单纯的, 自然的	'ɑ:tlis
GRE_7297	askance	adv. 斜视地	adv. 怀疑地, 斜眼看	ә'skæns
GRE_8329	aspen	n. 白杨	n. 山杨 / a. 山杨的, 颤抖的	'æspәn
GRE_4032	asphalt	n. 沥青	n. 柏油 / a. 用柏油铺成的 / vt. 以柏油铺	'æsfælt
GRE_5594	aspirant	n. 有抱负者, 有野心者	n. 怀抱大志者, 野心家 / a. 上进的, 有野心的	ә'spairәnt
GRE_7532	assessment	n. 估价， 评价	n. 评估, 估定, 评定的款额 / [化] 评估	ә'sesmәnt
GRE_8378	assorted	adj. 各式各样的； 混杂的	a. 各种各样的, 分类的	ә'sɒ:tid
GRE_9510	astound	v. 使震惊	vt. 使惊骇, 使大惊	ә'staund
GRE_8505	astounding	adj. 令人震惊的	a. 令人惊骇的	ә'staundiŋ
GRE_2117	asunder	adv. 分离, 成碎片	adv. 分开, 散, 碎	ә'sʌndә
GRE_1620	atonal	adj. 无调的	a. 无调性的	ei'tәunl
GRE_329	atrabilious	adj. 沉闷的, 疑心的	a. 忧郁的, 易怒的	.ætrә'biljәs
GRE_6479	attenuate	v. 削弱	a. 纤细的, 稀薄的, 稀释的 / vt. 使减弱, 使纤细 / vi. 变稀薄, 变纤细, 减少 / [计] 衰减	ә'tenjueit
GRE_8671	attenuation	n. 变瘦； 减少； 减弱	n. 变稀薄, 变纤细, 衰减 / [计] 衰减	ә.tenju'eiʃәn
GRE_4114	auger	n. 螺丝钻	n. 螺旋钻, 木螺钻 / [机] 木螺钻	'ɒ:gә
GRE_6188	authenticate	v. 鉴别	vt. 证明可信, 证实为真, 使具法律效力 / [法] 认证, 鉴定, 证明	ɒ:'θentikeit
GRE_7985	automated	adj. 自动的	a. 自动化的；机械化的	
GRE_7259	automation	n. 自动装置	n. 自动化, 自动操作 / [计] 自动学; 自动化	.ɒ:tә'meiʃәn
GRE_6565	avert	v. 转移	vt. 转开, 避免, 防止	ә'vә:t
GRE_9851	avoid	v. 避开， 躲避	vt. 避免, 防止, 撤消 / [法] 避免, 回避, 躲开	ә'vɒid
GRE_6346	avouch	v. 确保	v. 断言, 主张, 保证, 承认	ә'vautʃ
GRE_186	avuncular	adj. 伯父的, 伯父似的	a. 叔伯的, 叔伯似的	ә'vʌŋkjulә
GRE_8678	awe-inspiring	adj. 令人敬畏的	a. 使人畏惧的	'ɔ:in,spaiәriŋ
GRE_5889	awl	n. 锥子, 尖钻	n. 钻子, 尖锥	ɒ:l
GRE_1615	azoic	adj. 无生命的, 无生命时代的	a. 无生命痕迹的, 无生的 / [医] 无生物的	ә'zәuik
GRE_8656	backslide	v. 故态复萌	vi. 堕落, 退步 / n. 堕落, 退步	.bæk'slaid
GRE_5179	bacon	n. 咸肉, 熏肉	n. 熏猪肉 / [机] 腌肉	'beikәn
GRE_4629	banter	n. 善意地取笑, 逗弄	n. 戏谑, 嘲弄 / v. 戏弄, 开玩笑	'bæntә
GRE_2864	barbecue	n. 吃烤烧肉的野餐	n. 烤肉 / vt. 烤肉, 烧烤	'bɑ:bikju:
GRE_1889	barbed	adj. 有刺的, 具侧刺毛的, (话语)尖刻的, 尖锐的, 讽刺的	a. 有倒刺的	bɑ:bd
GRE_2599	baroque	n. 巴洛克时期艺术和建筑风格的, 巴洛克式	n. 巴罗克风格, 巴罗克式 / a. 巴罗克式的, 绮靡的, 以俗艳标新立异的	bә'rɒk
GRE_7554	bastion	n. 保垒， 防御工事	n. 棱堡, 阵地工事	'bæstʃәn
GRE_1063	bawdy	adj. 卖淫的, 妓女的, 好色的	a. 淫秽的, 言语猥亵的	'bɒ:di
GRE_3769	bawl	n. 叫骂声	n. 大叫声 / v. 大叫	bɒ:l
GRE_2060	beatific	adj. 祝福的, 快乐的, 幸福的	a. 至福的, 赐福的, 极乐的	.bi:ә'tifik
GRE_7809	befriend	v. 以朋友态度对待	vt. 待人如友, 扶助	bi'frend
GRE_7250	beholden	adj. 因受恩惠而心存感激，感谢；欠人情	a. 负有义务的, 受惠的	bi'hәudәn
GRE_4240	beholder	n. 目睹者, 旁观者	n. 观看者	bi'hәjldә(r)
GRE_7299	bellow	v. 咆哮； 吼叫	v. 怒吼	'belәu
GRE_8934	bemuse	v. 使昏头昏脑， 使迷惑	vt. 使发呆	bi'mju:z
GRE_4576	benignity	n. 仁慈, 善行	n. 善良, 温厚	bi'nigniti
GRE_7139	berate	v. 严厉指责, 申斥	vt. 严责	bi'reit
GRE_6518	bespeak	v. 预订	vt. 预约, 订, 表示 / n. 预约	bi'spi:k
GRE_6849	bestow	v. 给予, 安放	vt. 授予, 使用, 贮藏, 留宿	bi'stәu
GRE_4144	bigot	n. 盲目信仰者, 顽固者	n. 盲从者, 偏执的人	'bigәt
GRE_3403	bigotry	n. 固执, 顽固	n. 盲从, 偏见, 偏执的行为(或态度)	'bigәtri
GRE_1152	bilingual	adj. 能说两种语言的	a. 双语的	bai'liŋgwәl
GRE_8773	bilk	v. 躲债； 骗取	vt. 欺骗, 赖帐, 使受挫折 / n. 赖帐者, 骗子	bilk
GRE_9011	birthright	n. 与生俱来的权利	n. 生来就有的权利, 长子继承权	'bә:θrait
GRE_7202	blameworthy	adj. 该责备的， 有过失的	a. 该受责备的, 应受谴责的	'bleimwә:ði
GRE_3505	blare	n. 号声	n. 巨响, 吼叫声, 光泽 / vi. 高声鸣叫, 大叫 / vt. 大声喊出	blєә
GRE_1765	blase	adj. 厌烦于享乐的	a. 厌倦享乐的, 玩腻了的	'blɑ:zei
GRE_9766	blazing	adj. 炽烧的， 闪耀的	a. 炽燃的, 强烈的	'bleiziŋ
GRE_8395	bleak	adj. 寒冷的； 阴沉的； 阴郁的， 暗淡的	a. 萧瑟的, 荒凉的, 阴冷的	bli:k
GRE_8848	blissful	adj. 极幸福的	a. 充满喜悦的	'blisful
GRE_8106	blockage	n. 障碍物	n. 封锁, 妨碍 / [化] 堵塞	'blɒkidʒ
GRE_9614	blooming	adj. 开着花的； 旺盛的	a. 盛开的 / [化] 喷霜	'blu:miŋ
GRE_9272	boastfulness	n. 自吹自擂； 浮夸	n. 自负;夸大	ˊboustfulnis
GRE_3081	bolster	n. 垫子	n. 支持, 长枕 / vt. 支持, 支撑	'bәulstә
GRE_9746	bonanza	n. 富矿脉， 贵金属矿	n. 富矿带, 带来好运的事物, 幸运	bәu'nænzә
GRE_2736	botulism	n. 波特淋菌中毒, 香肠中毒	n. 肉毒中毒 / [医] 肉毒中毒	'bɒtjulizm
GRE_8975	bowlegged	adj. 弯脚的， 弓形腿的	a. 弯腿的	'bәulegd
GRE_7588	brackish	adj. 微咸的； 难吃的	a. 有盐味的, 令人不快的 / [机] 微有碱味的	'brækiʃ
GRE_7357	brag	v. 吹嘘	n. 吹牛 / v. 吹牛	bræg
GRE_2920	braggart	n. 吹嘘	n. 吹牛者, 自夸者 / a. 吹牛的, 自夸的	'brægәt
GRE_7829	braid	v. 编织； n. 穗子； 发辫	n. 辫子, 穗带 / vt. 编成辫, 镶边	breid
GRE_9684	braise	v. 炖， 蒸	vt. 炖, 蒸	breiz
GRE_7381	brat	n. 孩子； 顽童	n. 乳臭未干的小孩, 小孩 / [机] 不煤, 原煤	bræt
GRE_2998	bravura	n. 大胜的尝试,勇气的举动(显示演奏家技艺的壮丽的乐段)	n. 大胆的尝试；令人赞赏的演唱或演奏技巧	brә'vjuәrә
GRE_7378	bray	v. 大声而刺耳地发出 loudly and harshly)	n. 驴叫声, 喇叭声 / v. 叫, 嘶叫	brei
GRE_9713	bricklayer	n. 砖匠	n. 砌砖工人	'brikleiә
GRE_7566	bridle	v. 抑制， 控制； n. 马笼头	n. 马勒, 约束 / [医] 系带, 约束	'braidl
GRE_1858	brimful	adj. 盈满的, 满到边际的	a. 满到边的, 洋溢着...的, 满溢的	brim'fjl
GRE_9112	bristling	adj. 竖立的	a. (毛发)直立的, 发怒的	
GRE_8114	brownish	adj. 成褐色的	a. 呈褐色的	'brauniʃ
GRE_8038	bruit	v. 散布	vt. 散播 / [医] [杂]音	bru:t
GRE_4454	buff	n. 浅黄色, 软皮	n. 暗黄色, 暗黄色皮革, 人的皮肤 / vt. 擦亮, 使柔软 / a. 暗黄色的	bʌf
GRE_5218	bug	n. 小虫, 臭虫	n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人 / vt. 装防盗报警器, 装窃听器, 激怒 / vi. 捉虫, 暴突 / [计] 缺点, 错误	bʌg
GRE_6570	bumble	v. 拙劣地做, 弄糟	vi. 结结巴巴地说, 犯大错, 踉跄, 跌倒	'bʌmbl
GRE_5003	bumpkin	n. 土包子, 乡巴佬	n. 乡下人, 土佬儿	'bʌmpkin
GRE_4265	burgeon	n. 嫩芽	n. 芽, 嫩枝 / v. 萌芽, 发芽	'bә:dʒәn
GRE_5935	burlesque	n. 作戏, 滑稽表演	n. (讽刺性的)诙谐模仿, 滑稽戏 / a. 滑稽的, 可笑的	bә:'lesk
GRE_7964	butt	v. 用头抵撞，顶撞； n. 粗大的一端； 烟蒂	n. 粗大的一头, 烟头, 靶, 笑柄 / [医] 对核	bʌt
GRE_2722	byline	n. 标题下署名之行	n. 副业, 署名报道	
GRE_832	cagey	adj. 谨慎小心的, 精明的	a. 狡猾的, 机警的, 有戒心的, 不敢表态的, 小心谨慎的, 不甚友善的	'keidʒi
