id	word	definition_cn	ecdict_translation	ecdict_phonetic
SAT_2570	dumbfound	v. 使惊呆；使人惊愕失声	vt. 使...惊讶得发呆	dʌm'fajnd
SAT_1501	electrode	n. 顽皮雷弹	n. 电极 / [化] 电极; 焊条; 电焊条	i'lektrәud
SAT_4234	emanate	v. 放射（过去式emanated，过去分词emanated，现在分词emanating，第三人称单数emanates，形容词emanative）；发散	vi. 散发, 发出, 发源	'emәneit
SAT_218	ethereal	adj. 优雅的；轻飘的；缥缈的；超凡的	a. 轻的, 飘渺的, 天上的 / [医] 醚制的, 挥发性的	i'θiriәl
SAT_3686	exaggerate	v. 使扩大；使增大	v. 夸大, 夸张	ig'zædʒәreit
SAT_3554	excavate	v. 挖掘；开凿	v. 挖空, 挖出, 凿通	'ekskәveit
SAT_2090	expect	v. 期望；指望；认为；预料	vt. 预期, 盼望, 期待	iks'pekt
SAT_534	facile	adj. （言语或理论）轻率的，未经深思熟虑的	a. 容易的, 灵巧的, 温和的	'fæsil
SAT_1963	fallible	adj. 易犯错误的；不可靠的	a. 易错的, 可能犯错的	'fælәbl
SAT_1700	florid	adj. 绚丽的；气色好的	a. 华丽的, 红润的 / [医] 鲜红的	'flɒrid
SAT_3961	fraternal	adj. 兄弟般的；友好的	a. 兄弟的, 兄弟似的, 友爱的	frә'tә:nl
SAT_3362	frizzle	v. 使卷缩；使卷曲； n. 卷发；吱吱响声	n. 拳发, 拳曲 / v. (使)拳曲	'frizl
SAT_1560	gaiety	n. 快乐，兴高采烈；庆祝活动，喜庆；（服饰）华丽，艳丽	n. 愉快, 快活, 高兴	'geiәti
SAT_1767	gestate	v. 使怀孕	vt. 孕育	'dʒesteit
SAT_3828	gibber	v. 喋喋而言；胡扯； n. 三棱石；无法听懂的话	vi. 急促而不清楚地说话, 傻乎乎地说话 / [计] 混乱信息, 无用数据	'dʒibә
SAT_225	gibberish	n. 乱语；快速而不清楚的言语	n. 快而不清的语, 胡扯	'dʒibәriʃ
SAT_359	gland	n. 腺	n. 腺, 密封套 / [化] 衬片; 密封垫	glænd
SAT_3324	herbivore	n. [动] 食草动物	n. 草食动物	'hә:bivɒ:
SAT_589	hodgepodge	n. 大杂烩；混煮；一团糟； v. 使混乱	n. 杂烩菜, 混杂物	'hɒdʒpɒdʒ
SAT_4429	homologous chromosome	n. [遗] 同源染色体	[医] 同原染色体	
SAT_1822	hospitable	adj. 热情友好的；（环境）舒适的	a. 好客的, 招待周到的	'hɒspitәbl
SAT_4312	imaginative	adj. 富于想象的；有创造力的	a. 想像的, 虚构的	i'mædʒinәtiv
SAT_1019	impalpable	adj. 感触不到的；难理解的；无形的	a. 不可触知的, 不能感知的, 难以理解的 / [医] 不可接触的, 极细微的	im'pælpәbl
SAT_2868	imperil	v. 危及；使陷于危险	vt. 使处于危险, 危害	im'peril
SAT_2051	inadvertent	adj. 疏忽的；不注意的（副词inadvertently）；无意中做的	a. 漫不经心的, 非故意的	.inәd'vә:tәnt
SAT_4015	indefinitely	adv. 不确定地，无限期地；模糊地，不明确地	adv. 无期限地	
SAT_557	indignant	adj. 愤愤不平的；义愤的	a. 愤怒的, 愤慨的	in'dignәnt
SAT_584	ingenious	adj. 有独创性的；机灵的，精制的；心灵手巧的	a. 灵敏的, 精巧的, 聪明的	in'dʒi:njәs
SAT_1549	ingredient	n. 原料；要素；组成部分； adj. 构成组成部分的	n. 成分, 因素 / [化] 配合剂; 拼料; 成分; 组分	in'gri:diәnt
SAT_1792	instill	v. 徐徐滴入；逐渐灌输	vt. 滴注, 慢慢地灌输	in'stil
SAT_3795	jocular	adj. 爱开玩笑的；打趣的；滑稽的	a. 诙谐的	'dʒɒkjulә
SAT_3087	lapse	n. (一时的) 走神，判断错误	n. 过失, 流逝, 失效 / vi. 犯错, 堕落, 减退, 消失, 流逝 / vt. 使失效	læps
SAT_3843	leg	n. 腿；支柱	n. 腿, 假腿, 路程 / vi. 走, 跑	leg
SAT_1161	lexicographer	n. 词典编纂者	n. 辞典编纂者	.leksi'kɒgrәfә
SAT_1568	loquacious	adj. 饶舌的，多话的	a. 多嘴的, 好辩的, 吵闹的, 潺潺的	lәu'kweiʃәs
SAT_3114	lung	n. 肺；呼吸器	n. 肺, 肺脏, 空地 / [医] 肺	lʌŋ
SAT_3371	minnow	n. [鱼] 鲦鱼（一种小淡水鱼）	n. 鲤科淡水小鱼	'minәu
SAT_3219	misbehave	v. 作弊；行为不礼貌	v. (使)行为无礼貌, (使)行为不端	.misbi'heiv
SAT_3622	misbehavior	n. 品行不端；不礼貌（等于misbehaviour）	n. 不正当的举止, 不规矩的行为 / [法] 行为不端, 品行不良, 不正当的举止	'misbi'heivjә
SAT_144	misrepresent	v. 歪曲，误传；不合适地代表	vt. 不如实地叙述(或说明), 不称职地代表	'mis.repri'zent
SAT_2497	mite	n. 极小量；小虫；小孩儿；微小的东西	n. 尽绵薄之力的捐献, 细微, 微少, 螨 / [医] 螨	mait
SAT_4271	nefarious	adj. 邪恶的；穷凶极恶的；不法的	a. 恶毒的, 极坏的	ni'feәriәs
SAT_3372	obsolescent	adj. 荒废的；即将过时的；逐渐被废弃的	a. 在逐步废弃的	.ɒbsә'lesәnt
SAT_3032	ordinate	n. [数] 纵坐标	n. 纵线, 纵座标 / [医] 纵座标	'ɒ:dineit
SAT_8	parsimonious	adj. 吝啬的；过于节俭的；质量差的	a. 过度节俭的, 吝啬小气的	,pɑ:si'mәunjәs, -niәs
SAT_3191	perfidious	adj. 背信弃义的；不忠的	a. 不忠贞的, 背信的, 有异心的	pә'fidiәs
SAT_2439	peripheral	adj. 外围的；次要的；（神经）末梢区域的； n. 外部设备	a. 周边的, 周围的, 圆周的, 无关紧要的, 肤浅的 / [医] 外周的, 周围的, 末梢的	pә'rifәrәl
SAT_1770	phase	n. 月相	n. 时期, 局面, 方面, 位相, 相, 阶段 / vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行 / [计] 阶段	feiz
SAT_1435	pheromone	n. 信息素（用于生化领域）；费洛蒙（昆虫分泌以刺激同种昆虫之化合物质）	[化] 性外激素; 信息激素	'ferәmәun
SAT_9	Phosphorus	n. 磷	n. 启明星, 金星, 磷, 磷光体 / [化] 磷P	'fɒsfәrәs
SAT_1541	polyglot	n. 通晓数种语言的人；用通晓数种语言记载的书； adj. 通数国语言，数国语言的	a. (使用)多种语言的, 多种文字对照的 / n. 使用多种语言的人, 多种文字对照本	'pɒliglɒt
SAT_3743	prankster	n. 爱开玩笑的人；顽皮的人；恶作剧的人	n. 恶作剧者	'præŋkstә
SAT_2861	predicament	n. 窘况，困境；状态	n. 处境, 穷境, 困局	pri'dikәmәnt
SAT_3095	projectile	adj. 抛射的；抛掷的；供抛射用的；（触角等）能伸出的； n. 射弹；抛射体；自动推进武器	n. 发射体, 抛射物 / a. 发射的, 投射的	prә'dʒektil
SAT_3338	protuberate	v. 伸出的	vi.隆起,凸出	prәj'tju:bәreit
SAT_2435	prudential	adj. 谨慎的；明辨的	a. 审慎的, 精明的, 起咨询作用的	pru:'denʃәl
SAT_468	pulverize	v. 粉碎；使成粉末；研磨	vt. 把...磨成粉 / vi. 变成粉	'pʌlvәraiz
SAT_203	rationalism	n. 理性主义；唯理主义	n. 合理主义, 理性论, 纯理论	'ræʃәnәlizm
SAT_4134	recluse	n. 隐士；隐居者； adj. 隐居的	a. 隐遁的, 偏僻的 / n. 隐遁者, 遁世者	ri'klu:s
SAT_167	recumbent	adj. 斜倚的；休息的	a. 斜靠着的, 躺着的, 不活泼的, 休息着的 / [医] 斜卧的, 躺着的	ri'kʌmbәnt
SAT_521	relegate	v. 把降低到；归入；提交	vt. 驱逐, 使降低地位, 把...归类, 把...委托给 / [法] 流放, 判流放刑, 驱逐	'religeit
SAT_1264	resplendent	adj. 光辉的；华丽的	a. 辉煌的, 灿烂的	ri'splendәnt
SAT_3258	sapid	adj. 有滋味的；有趣的	a. 有味道的, 风味良好的, 有趣味的 / [医] 美味的	'sæpid
SAT_1922	semblance	n. 外貌；假装；类似	n. 外表, 伪装, 假象, 少量	'semblәns
SAT_2758	serendipity	n. 意外发现珍奇事物的本领；有意外发现珍宝的运气	n. 偶然发现珍宝的运气/才能, 易遇奇缘的运气	,serәn'dipiti
SAT_3263	simplify	v. 简化；使单纯；使简易	vt. 单一化, 简单化	'simplifai
SAT_2448	skittish	adj. （人或动物）不安的，易受惊的；难驾驭的	a. 易惊的, 轻佻的, 三心二意的, 不可靠的, 羞怯的, 活泼的, 爱蹦跳的, 活跃的	'skitiʃ
SAT_2549	species	n. [生物] 物种；种类； adj. 物种上的	n. 种, 类, 外形 / [医] 茶剂; 种	'spi:ʃiz
SAT_670	statuesque	adj. 雕像般的；轮廓清晰的；均衡的	a. 雕像一般的, 均称的, 轮廓优美的	.stætju'esk
SAT_1375	tolerate	v. 忍受；默许；宽恕	vt. 宽容, 容许, 有耐力	'tɒlәreit
SAT_2963	trove	n. 被发现的东西；收藏的东西	n. 发现物, 收藏品 / [法] 发现物, 收藏物	trәuv
SAT_3932	tutorship	n. 辅导；教师职位	n. 教师之职位 / [法] 保护人的职责或权力, 保护权	'tju:tәʃip
SAT_1145	unbecoming	adj. 不适当的，不相称的；不合身的，不得体的	a. 不适合的, 不合体的, 不相配的	.ʌnbi'kʌmiŋ
SAT_2799	ungainly	adj. 笨拙的；不雅的； adv. 笨拙地；不雅地	a. 难看的, 不优雅的, 粗陋的	.ʌn'geinli
SAT_1947	untimely	adj. 不合时宜的；过早的； adv. 不合时宜地；过早地	a. 不到时候的, 不合时令的, 不适时的	.ʌn'taimli
SAT_1476	urine	n. 尿	n. 小便, 尿 / [医] 尿	'juәrin
SAT_1409	vaccinate	v. 接种疫苗； n. 被接种牛痘者	v. 预防接种	'væksineit
SAT_3036	vegetate	v. 过单调呆板的生活	vi. 植物似地生长, 过呆板单调的生活, 无所事事地生活, (赘疣)生长, 长大	'vedʒiteit
SAT_4109	velvety	adj. 天鹅绒般柔软的；醇和的，可口的	a. 像天鹅绒的, 轻软光滑的, 柔和的, 平和的	'velviti
SAT_3575	verisimilar	adj. 好像是真的	a. 好像真实的 / [法] 貌似真的, 似乎是真的, 很可能的	.veri'similә
SAT_43	wherever	adv. 无论什么地方；究竟在哪里； conj. 无论在哪里；无论什么情况下	adv. 无论哪里	hwєәr'evә
SAT_3453	widespread	adj. 普遍的，广泛的；分布广的	a. 充分伸展的, 广布的, 普及的, 流传广的	'waidspred
SAT_3935	withstand	v. 抵挡；禁得起；反抗	vt. 抵住, 顶住, 经得起	wið'stænd
SAT_4001	workmanlike	adj. 技术熟练的；精工细作的	a. 工作熟练的, 有技巧的, 精巧的	'w\\:kmәnlaik
SAT_987	yearling	n. 一岁家畜；满一岁的动物； adj. 一岁的	n. 一岁崽	'yiәliŋ
