id	word	definition_cn	phonetic_uk	phonetic_us	ecdict_translation	ecdict_phonetic	ecdict_definition
GRE_8236	blasé	adj. 厌倦享乐的， 玩厌了的	/blɑː'zeɪ/	/blɑː'zeɪ/			
GRE_7306	cliché	adj. 陈腐的usedsooftenthatithasbecomestaleormeaningless)； n. 陈词滥调	/kliː'ʃeɪ/	/kliː'ʃeɪ/			
GRE_7256	cosycozy	adj. 温暖而舒适的	/'kouzi/	/'kouzi/			
GRE_7661	dumbbell-like	adj. 哑铃状的	/'dʌmbelˌlaɪk/	/'dʌmbelˌlaɪk/			
GRE_9805	ill-paying	adj. 工资低廉的	/ˌɪl'peɪɪŋ/	/ˌɪl'peɪɪŋ/			
GRE_9053	self-procession	n. 自行列队	/ˌselfprə'seʃn/	/ˌselfprə'seʃn/			
